,index,Unnamed: 0,poems,our_summary,ground_summaries
615,615,615,"How many roads must a man walk down
Before you call him a man?
Yes, n how many seas must a white dove sail
Before she sleeps in the sand?
Yes, n how many times must the cannon balls fly
Before they're forever banned?
The answer, my friend, is blowin' in the wind,
The answer is blowin' in the wind.

How many years can a mountain exist
Before its washed to the sea?
Yes, n how many years can some people exist
Before they're allowed to be free?
Yes, n how many times can a man turn his head,
Pretending he just doesn't see?
The answer, my friend, is blowin' in the wind,
The answer is blowin' in the wind.

How many times must a man look up
Before he can see the sky?
Yes, n how many ears must one man have
Before he can hear people cry?
Yes, n how many deaths will it take till he knows
That too many people have died?
The answer, my friend, is blowin' in the wind,
The answer is blowin' in the wind.",When a man looks up he can see the sky and hear people cry and he,"Blowin' in the Wind' by Bob Dylan poses a series of questions to ironically point to humankind's passivity over the cruelties and brutal reality of the 20th century. Dylan's song describes how the things happening around the world pains a speaker deeply. This speaker belongs to the century when discrimination according to color and origin existed, basic human rights were denied, and above all the harrowing air of war was raging everywhere. In such a critical situation, a speaker asks several questions to his fellow human beings. It seems everyone knows the answer to his simple questions, yet they are ignoring reality. For example, he alludes to the World Wars in the first stanza and asks how long this problematic situation is going to exist. In the following stanzas, he taps on the issues of racism, confinement, ignorance, freedom, death, and distress."
616,616,616,"I said to Love,
""It is not now as in old days
When men adored thee and thy ways
All else above;
Named thee the Boy, the Bright, the One
Who spread a heaven beneath the sun,""
I said to Love.
I said to him,
""We now know more of thee than then;
We were but weak in judgment when,
With hearts abrim,
We clamoured thee that thou would'st please
Inflict on us thine agonies,""
I said to him.
I said to Love,
""Thou art not young, thou art not fair,
No faery darts, no cherub air,
Nor swan, nor dove
Are thine; but features pitiless,
And iron daggers of distress,""
I said to Love.
""Depart then, Love! . . .
- Man's race shall end, dost threaten thou?
The age to come the man of now
Know nothing of? -
We fear not such a threat from thee;
We are too old in apathy!
Mankind shall cease.--So let it be,""
I said to Love.","I said to Love, ""It is not now as in old days When men adore","In short form, 'I Said To Love' is a love poem by Thomas Hardy that looks at loss and a sense of regret for what he has lost (referring to his passed wife, Emma). He comes across as having a bad experience with love that has punished him with feelings of remorse and pain come across in this poem. With this pain, Hardy personified Love so that he can take out the pain on the personification of Love. “Love” appears to him as an unkind man who once showed him the positive sides of it. But, now as he has lost his wife, it is giving him extreme distress. He tells love to leave at once and relieve him from the pain he is suffering after the loss of his dear one."
617,617,617,"With how sad steps, O Moon, thou climb’st the skies!
How silently, and with how wan a face!
What, may it be that even in heavenly place
That busy archer his sharp arrows tries?
Sure, if that long-with-love-acquainted eyes
Can judge of love, thou feel’st a lover’s case,
I read it in thy looks; thy languished grace,
To me that feel the like, thy state descries.
Then, even of fellowship, O Moon, tell me,
Is constant love deemed there but want of wit?
Are beauties there as proud as here they be?
Do they above love to be loved, and yet
Those lovers scorn whom that love doth possess?
Do they call virtue there ungratefulness?"," The poem is a poem of love, and a poem of sorrow.</s","Sonnet 31 Analysis With how sad steps, O Moon, thou climb'st the skies! How silently, and with how wan a face! What, may it be that even in heav'nly place That busy archer his sharp arrows tries! Sure, if that long-with love-acquainted eyes Can judge of love, thou feel'st a lover's case, I read it in thy looks; thy languish'd grace To me, that feel the like, thy state descries. The octet depicts the lyrical voice's perception of the moon. The poem starts by describing how the moon rises in the sky at night. The lyrical voice personifies the moon (“O Moon, thou climb'st the skies!) and projects his/ own sorrows in the moon (“With how sad steps”). The lyrical voice describes the moon carefully, as an individual being: “How silently, and with how wan face!”. There is a repetition of the word “how” in order to emphasize the lyrical voice's attention to the object that he is describing. The lyrical voice questions about the moon's sadness, and figures that it must be because of “What, may it be that even in heav'nly place /That busy archer his sharp arrows tries” (cupid). The lyrical voice's connection of his feelings to those of the moon is an example of a “pathetic fallacy”, where elements of nature appear to have human emotions. The lyrical voice suggests that the moon is struggling with sentimental problems, as he can see them from experiencing them himself: Sure, if that long-with love-acquainted eyes /Can judge of love, thou feel'st a lover's case”. This furthers the personification and the “phatetic fallacy” mentioned before. The lyrical voice can “read it in thy looks” and the moon appears to be, again, weak (“thy languish'd grace”). This portrait of the moon shows the lyrical voice's assurance about the moon being lovesick. Once again, the lyrical voice compares the moon's state to his, making a direct relationship between the moon's suffering and his (“To me, that feel the like, thy state descries”). Notice how the unusual syntax accentuates the words of suffering that the lyrical voice is expressing. Then, ev'n of fellowship, O Moon, tell me, Is constant love deem'd there but want of wit? Are beauties there as proud as here they be? Do they above love to be lov'd, and yet Those lovers scorn whom that love doth possess? Do they call virtue there ungratefulness? The sestet presents a series of questions that are crucial to the lyrical voice. The focus of the poem shifts from the description of the moon to the lyrical voice's reflections about love. This is the typical volta, turn, that occurs in the Petrarchan sonnet. The lyrical voice asks the moon (“Then, ev'n of fellowship, O Moon, tell me”) whether, in the sky, love is treated as “want of wit”. Moreover, he asks if women are as proud as they are on earth (“Are beauties there as proud as here they be?”). This series of questions project problems that the lyrical voice is dealing with. The lyrical voice in 'Sonnet 31′ still has more questions. He wants to know whether the things above like to be loved. Notice the internal rhyme in the fourth line. Moreover, he wants to know if the beloved ones like the ones who are in love with them (“Those lovers scorn whom that love doth possess? “). Again, the lyrical voice is questioning and thinking about his own sentimental struggles and his relationship with Stella. The final line continues with the questions and the complaints that the lyrical voice has expressed in the sestet. The lyrical voice asks whether “above” love is despised to (“Do they call virtue there ungratefulness?”). He feels that love is a virtue, but it sounds like his beloved one, Stella, doesn't feel the same way about the lyrical voice's display of virtue and constant love. The tone of the sestet shows that the lyrical voice is deeply wounded and the rhetorical questions accentuate this pain."
618,618,618,"The soote season, that bud and bloom forth brings,
With green hath clad the hill and eke the vale:
The nightingale with feathers new she sings;
The turtle to her make hath told her tale.
Summer is come, for every spray now springs:
The hart hath hung his old head on the pale;
The buck in brake his winter coat he flings;
The fishes flete with new repaired scale.
The adder all her slough away she slings;
The swift swallow pursueth the flies smale;
The busy bee her honey now she mings;
Winter is worn that was the flowers' bale.
And thus I see among these pleasant things
Each care decays, and yet my sorrow springs.","The soote season, that bud and bloom forth brings, With green hat","'Description of Spring' by Henry Howard is a simple depiction of spring and how it contrasts with the speaker's emotions. In the first part of the poem, the poet outlines all the wildlife and how each living creature is reacting to spring. He uses examples of personification and anaphora to emphasize how the entire world seems to be shedding the winter and embracing spring. But, as he reveals in the concluding couplet, the season is not uplifting him in the same way. His sorrow is only growing worse because of the beauty and joy he sees around him."
619,619,619,"Passage O soul to India!
Eclaircise the myths Asiatic, the primitive fables.
Not you alone, proud truths of the world, Nor you alone, ye facts of modern science, But myths and fables of eld, Asia’s, Africa’s fables, The far-darting beams of the spirit, the unloos’d dreams, The deep diving bibles and legends, The daring plots of the poets, the elder religions; O you temples fairer than lilies, pour’d over by the rising sun! O you fables, spurning the known, eluding the hold of the known, mounting to heaven! You lofty and dazzling towers, pinnacled, red as roses, burnish’d with gold! Towers of fables immortal, fashion’d from mortal dreams! You too I welcome, and fully, the same as the rest! You too with joy I sing. Passage to India!
Lo, soul! seest thou not God’s purpose from the first? The earth to be spann’d, connected by network, The races, neighbors, to marry and be given in marriage, The oceans to be cross’d, the distant brought near,
The lands to be welded together. A worship new I sing, You captains, voyagers, explorers, yours, You engineers, you architects, machinists, yours, You, not for trade or transportation only,
But in God’s name, and for thy sake, O soul.","Eclaircise the myths Asiatic, the primitive fables. Not","'Passage to India' by Walt Whitman describes an imaginary journey that a speaker wants to take into fabled India. Passage to India begins with a description of the new marvel of the modern world and how they are part of God's plan. These works, the Suez Canal, the great American Railway, and the transatlantic cable allowed men and women to know one another in a new way. He sees India as a mysterious and fabled place that once visited, will allow the rejuvenation of his soul. He will return to the birthplace of mankind and be renewed for the rest of his life. The Passage to India is not easy, many have died on the way. That scares the speaker, but not so much so as to deter him from undertaking the voyage. The pull of exploration is like a current running through the human race and he is a part of it and wants to feel the connectivity of the earth. The speaker also takes the time to mourn the downfall of men, like Columbus, who ended their lives unhappily. He imagines that he is on this important journey with his soul and that the two of them are circumnavigating the earth together. After asking himself if he is ready to go further on his journey, the reply is an eventual yes and he commands the anchor to be lifted. While the voyage might seem like a terrifying one, he is protected by God."
620,620,620,"From the dull confines of the drooping west
To see the day spring from the pregnant east,
Ravish'd in spirit, I come, nay more, I fly
To thee, blest place of my nativity!
Thus, thus with hallow'd foot I touch the ground,
With thousand blessings by thy fortune crown'd.
O fruitful genius! that bestowest here
An everlasting plenty, year by year.
O place! O people! Manners! fram'd to please
All nations, customs, kindreds, languages!
I am a free-born Roman; suffer then
That I amongst you live a citizen.
London my home is, though by hard fate sent
Into a long and irksome banishment;
Yet since call'd back, henceforward let me be,
O native country, repossess'd by thee!
For, rather than I'll to the west return,
I'll beg of thee first here to have mine urn.
Weak I am grown, and must in short time fall;
Give thou my sacred relics burial.","I come, nay more, I fly To thee, blest","His Return to London' by Robert Herrick is a celebration of one speaker's joyful return to London and his hopes that he can remain there. The speaker begins 'His Return to London' by stating that he is on a journey from the west to the east. This is a trip that he is relishing. It is taking him from somewhere dark and dreary, to somewhere bright and pregnant with possibility. In fact, London is so special to him, that he sees it as a place of nativity. It is important to him, just like one's spiritual or religious beliefs would be. In the next lines, he celebrates the fact that there are so many different kinds of people in the country. At the same time, he speaks directly to the citizens telling them that London is his home, but something happened that sent him into banishment. Now, he has been called back to his country. He is ready to remain there permanently until he dies. He feels that this will not be too long from now, and hopes that he can be buried in the London ground."
621,621,621,"Boot, saddle, to horse, and away!
Rescue my Castle, before the hot day
Brightens the blue from its silvery grey,

(Chorus) ""Boot, saddle, to horse, and away!""

Ride past the suburbs, asleep as you'd say;
Many's the friend there, will listen and pray
""God's luck to gallants that strike up the lay,

(Chorus) ""Boot, saddle, to horse, and away!""

Forty miles off, like a roebuck at bay,
Flouts Castle Brancepeth the Roundheads array:
Who laughs, Good fellows ere this, by my fay,

(Chorus) ""Boot, saddle, to horse, and away!""

Who? My wife Gertrude; that, honest and gay,
Laughs when you talk of surrendering, ""Nay!
I've better counsellors; what counsel they?""

(Chorus) ""Boot, saddle, to horse, and away!"""," ""Boot, saddle, to horse, and away!""</s","Boot and Saddle' by Robert Browning is a perfectly rhymed poem that depicts the ride of an Englishmen going to fight during the English Civil War. The poem focuses on the action of the man on horseback. He repeats, through a chorus of “'Boot, saddle, to horse, and away!'” that he's prepared for any fight. The speaker addresses the location, Brancepeth Castle, and those he will find there: the Roundheads, or Parliamentarians. He has no intention of surrendering and will only take the advice of counselors who are prepared to fight."
622,622,622,"Throughout the afternoon I watched them there,
Snow-fairies falling, falling from the sky,
Whirling fantastic in the misty air,
Contending fierce for space supremacy.
And they flew down a mightier force at night,
As though in heaven there was revolt and riot,
And they, frail things had taken panic flight
Down to the calm earth seeking peace and quiet.
I went to bed and rose at early dawn
To see them huddled together in a heap,
Each merged into the other upon the lawn,
Worn out by the sharp struggle, fast asleep.
The sun shone brightly on them half the day,
By night they stealthily had stol’n away.
II
And suddenly my thoughts then turned to you
Who came to me upon a winter’s night,
When snow-sprites round my attic window flew,
Your hair disheveled, eyes aglow with light.
My heart was like the weather when you came,
The wanton winds were blowing loud and long;
But you, with joy and passion all aflame,
You danced and sang a lilting summer song.
I made room for you in my little bed,
Took covers from the closet fresh and warm,
A downful pillow for your scented head,
And lay down with you resting in my arm.
You went with Dawn. You left me ere the day,
The lonely actor of a dreamy play.","I watched them there, Snow-fairies falling, falling from the sky, Whirling","'The Snow Fairy' by Claude McKay is a beautifully written poem in which the poet presents two sonnets with similar imagery. The first of the two sonnets focuses on a snowfall, something he compares to “snow-fairies” fighting for supremacy in the sky and then resting peacefully on the ground. He uses personification throughout the piece, until the end when they've “gone,” or melted away. In the second sonnet, the speaker picks his line of thought immediately back up with the word “And.” It appears that the first sonnet has led him to the thoughts he has in the second. He imagines “you,” an unknown listener and the speaker's lover, coming to him and bringing warmth and summer into his home. Together, the two go to bed. When he wakes up, this person is gone as if they left with the dawn as a dream."
623,623,623,"First Inaugural Address, March 4, 1932
This great Nation will endure as it has endured, will revive and will prosper.
So, first of all, let me assert my firm belief that the only thing we have to fear is fear
itself—nameless, unreasoning, unjustified terror which paralyzes needed efforts to
convert retreat into advance... In such a spirit on my part and on yours we face our
common difficulties. They concern, thank God, only material things...
More important, a host of unemployed citizens face the grim problem of
existence, and an equally great number toil with little return. Only a foolish optimist
can deny the dark realities of the moment.
Yet our distress comes from no failure of substance... Plenty is at our
doorstep, but a generous use of it languishes in the very sight of the supply. Primarily
this is because the rulers of the exchange of mankind's goods have failed, through
their own stubbornness and their own incompetence... This nation asks for action,
and action now.
Our greatest primary task is to put people to work... It can be accomplished in
part by direct recruiting by the Government itself, treating the task as we would treat
the emergency of a war, but at the same time, through this employment,
accomplishing greatly needed projects to stimulate and reorganize the use of our
natural resources...
...These measures, or such other measures as the Congress may build out of
its experience and wisdom, I shall seek, within my constitutional authority, to bring to
speedy adoption.
But in the event that the Congress shall fail to take one of these two courses,
and in the event that the national emergency is still critical... I shall ask the Congress
for the one remaining instrument to meet the crisis—broad Executive power to wage
a war against the emergency, as great as the power that would be given to me if we
were in fact invaded by a foreign foe...","This great Nation will endure as it has endured, will revive and will prosper. So,","This phrase, “nothing to fear but fear itself”, is a reference to the sensation of fear that is the worst enemy of humankind. It keeps one aback and troubles one’s soul. The worst form of fear is the gloomy thoughts that create an eerie atmosphere inside one’s mind. Through this phrase, the speaker, FDR, refers to this mental framework that should not be encouraged. As it has a disastrous effect on one’s courage and the nation’s progress as a whole. However, the phrase is paraphrased here and FDR included this rhetorically charged phrase in a different manner."
624,624,624,"Stalemated their armies stood, with tottering banners: 
She flung from a room
Still ringing with bruit of insults and dishonors

And in fury left him
Glowering at the coal-fire: ""Come find me""-her last taunt.
He did not come

But sat on, guarding his grim battlement.
By the doorstep
Her winter-beheaded daisies, marrowless, gaunt,

Warned her to keep
Indoors with politic goodwill, not haste
Into a landscape

Of stark wind-harrowed hills and weltering mist; 
But from the house 
She stalked intractable as a driven ghost

Across moor snows
Pocked by rook-claw and rabbit-track: she must yet win
Him to his kneesn-",''Come find me'' -her last taunt -,"Sylvia Plath’s ‘The Snowman on the Moor‘ discusses the emotional toll that an abusive relationship takes on the victim. ‘The Snowman on the Moor‘ follows Plath’s perspective on emotional abuse within a seemingly perfect relationship and discusses the perpetuated cycle of abuse and internal struggle that the female victim faces within herself. By incorporating her own experiences and personal pronouns, the poet makes the content of the poem relatable to every sufferer of abuse within romantic relationships."
625,625,625,"A stopwatch and an ordnance map.
At five a man fell to the ground
And the watch flew off his wrist
Like a moon struck from the earth
Marking a blank time that stares
On the tides of change beneath.
All under the olive trees.
A stopwatch and an ordnance map.
He stayed faithfully in that place
From his living comrade split
By dividers of the bullet
Opening wide the distances
Of his final loneliness.

All under the olive trees.
A stopwatch and an ordnance map.
And the bones are fixed at five
Under the moon's timelessness;
But another who lives on
Wears within his heart forever
Space split open by the bullet.
All under the olive trees.",A stopwatch and an ordnance map. At five a man fell to the,"'A Stopwatch and an Ordnance Map' by Stephen Spender is a poem about the effect of war, mortality, and time. In the first part of the poem, Spender uses two refrains and several other lines to describe the death of a soldier who lost his life while fighting. His death was incredibly important to the poet's speaker. He emphasizes the watch the man had on his wrist as well. In the second septet, or set of seven lines, the speaker describes this one man's death, and the presence of his body brings sorrow to all those who observed it. The man is split from his comrades by the bullet and now proceeds on a lonely path toward death. In the final section of the poem, the speaker alludes to a friend that the deceased soldier left behind. This man is also marked forever by his friend's loss."
626,626,626,"Still falls the Rain—
Dark as the world of man, black as our loss—
Blind as the nineteen hundred and forty nails
Upon the Cross.
Still falls the Rain
With a sound like the pulse of the heart that is changed to the hammer-beat
In the Potter’s Field, and the sound of the impious feet
On the Tomb:
Still falls the Rain
In the Field of Blood where the small hopes breed and the human brain
Nurtures its greed, that worm with the brow of Cain.
Still falls the Rain
At the feet of the Starved Man hung upon the Cross.
Christ that each day, each night, nails there, have mercy on us—
On Dives and on Lazarus:
Under the Rain the sore and the gold are as one.
Still falls the Rain—
Still falls the Blood from the Starved Man’s wounded Side:
He bears in His Heart all wounds,—those of the light that died,
The last faint spark
In the self-murdered heart, the wounds of the sad uncomprehending dark,
The wounds of the baited bear—
The blind and weeping bear whom the keepers beat
On his helpless flesh... the tears of the hunted hare.
Still falls the Rain—
Then— O Ile leape up to my God: who pulles me doune—
See, see where Christ’s blood streames in the firmament:
It flows from the Brow we nailed upon the tree
Deep to the dying, to the thirsting heart
That holds the fires of the world,—dark-smirched with pain
As Caesar’s laurel crown.
Then sounds the voice of One who like the heart of man
Was once a child who among beasts has lain—
“Still do I love, still shed my innocent light, my Blood, for thee.”"," Still falls the Rain, Dark as the world of man, black as our loss.</s","“Still Falls the Rain” is a meditation on the suffering of people in England during World War II. From there it turns out a number of events in the seven stanzas. It is a reference to suffering throughout the history of the world. The thirty-four lines of the poem are divided into seven stanzas, perhaps to symbolize the seven days of the week and thereby emphasize the comprehensiveness of the suffering Christ still endures. The title of the poem is repeated six times throughout the poem, the number six traditionally being associated with humankind, which was, according to Genesis 1, created on the sixth day of creation. She has used a number reference from the Bible to indicate where man failed and God's love persisted."
627,627,627,"The flame-red moon, the harvest moon,
Rolls along the hills, gently bouncing,
A vast balloon,
Till it takes off, and sinks upward
To lie on the bottom of the sky, like a gold doubloon.
The harvest moon has come,
Booming softly through heaven, like a bassoon.
And the earth replies all night, like a deep drum.

So people can't sleep,
So they go out where elms and oak trees keep
A kneeling vigil, in a religious hush.
The harvest moon has come!

And all the moonlit cows and all the sheep
Stare up at her petrified, while she swells
Filling heaven, as if red hot, and sailing
Closer and closer like the end of the world.

Till the gold fields of stiff wheat
Cry `We are ripe, reap us!' and the rivers
Sweat from the melting hills.","The flame-red moon, the harvest moon, Rolls along the hills, gently bou","'The Harvest Moon' by Ted Hughes describes the awe-inspiring beauty of the harvest moon and captures the reaction of different creatures. 'The Harvest Moon' by Ted Hughes describes the appearance of the harvest moon in the sky as a “flame-red” object. Thereafter, the poet captures its movement across the sky and uses different literary devices to compare its changing beauty. He uses the images of “balloon” and “doubloon” for this purpose. The instruments mentioned in the first stanza of the poem captures the sound present in nature. After that, there is a reference to the people's activity during the harvest moon. They are pious about the autumnal full moon. Moreover, the third stanza, presents how the cows and sheep react while watching the moon. In the last stanza, the poet presents the main idea of the poem by personifying the “gold fields”."
628,628,628,"Dear critic, who my lightness so deplores,
Would I might study to be prince of bores,
Right wisely would I rule that dull estate—
But, sir, I may not, till you abdicate","Dear critic, who my lightness so deplores, Would I might study to be","'To a Captious Critic' by Paul Laurence Dunbar is a short, punchy poem that mocks a critic and the world of literary criticism. The poem begins with the speaker addressing the critic, telling him that he's a boring prince ruling over a “dull” world. It's clear Dunbar feels disdain for the profession, but at the same time, he tells this person that he could do their job far better than they can. In the last line, he calls for the critic to step down from his throne and allow other, smarter people, to take his place."
629,629,629,"Is there aught you need that my hands withhold,
Rich gifts of raiment or grain or gold?
Lo! I have flung to the East and West
Priceless treasures torn from my breast,
And yielded the sons of my stricken womb
To the drum-beats of duty, the sabres of doom.

Gathered like pearls in their alien graves
Silent they sleep by the Persian waves,
Scattered like shells on Egyptian sands,
They lie with pale brows and brave, broken hands,
They are strewn like blossoms mown down by chance
On the blood-brown meadows of Flanders and France.

Can ye measure the grief of the tears I weep
Or compass the woe of the watch I keep?
Or the pride that thrills thro' my heart's despair
And the hope that comforts the anguish of prayer?
And the far sad glorious vision I see
Of the torn red banners of Victory?

When the terror and tumult of hate shall cease
And life be refashioned on anvils of peace,
And your love shall offer memorial thanks
To the comrades who fought in your dauntless ranks,
And you honour the deeds of the deathless ones
Remember the blood of thy martyred sons!",I have flung to the East and West Priceless treasures torn from my,"The poem 'The Gift of India' by Sarojini Naidu sounds like an appeal made by mother India to the world to remember the contribution of Indian soldiers during World War I. It is surcharged with the emotional outpouring of a mother, reminiscence on how her children fought and died during World War I. In the first stanza, the poet regards all the benefits of raiment, grain, and gold unearthed and taken away across the world as gifts from India. The second stanza pictures the pathetic situation of those who lost their lives miles apart from home. The third stanza briefs on the grief brought home by their death. Finally, in the fourth stanza, the poet or the speaker appeals to honor the sacrifices of the Indian soldiers."
630,630,630,"Blessing himself with his apron,
the leather black and tan of a rain-beaten bay,
he pinches a roll-up to his lips and waits

the smoke slow-turning from his mouth,
for the mare to be led from the field to the yard
and the wind twisting his sideburns in its fingers.

She smells him as he passes, woodbine, metal and hoof,
careful not to look her in the eye as he runs his hand
the length of her neck, checking for dust on the lintels.


Folding her back leg with one arm, he leans into her flank
like a man putting his shoulder to a knackered car,
catches the hoof between his knees

as if it's just fallen from a table,
cups her fetlock and bends,
a romantic lead dropping to the lips of his lover.

Then the close work begins: cutting moon-sliver clippings,
excavating the arrow head of her frog,
filing at the sole and branding on a shoe

in an apparition of smoke,
three nails gritted between his teeth,
a seamstress pinning the dress of the bride.

Placing his tools in their beds,
he gives her a slap and watches her leave,
awkward in her new shoes, walking on strange ground.

The sound of his steel, biting at her heels.","A man who scours the field with his apron, a leather black","‘The Farrier’ by Owen Sheers portrays the story of a farrier attaching new shoes on a female horse. The poem is often interpreted as an extended metaphor to portray the complexities of the relationship between males and females. The archetypical portrayal of the masculine and feminine within the poem convene to present Sheers’ upbringing, being from a strict background in which gender roles were clearly defined.

"
631,631,631,"Two households, both alike in dignity,
In fair Verona where we lay our scene,
From ancient grudge break to new mutiny,
Where civil blood makes civil hands unclean.
From forth the fatal loins of these two foes,
A pair of star-crossed lovers take their life,
Whose misadventured piteous overthrows
Doth, with their death, bury their parents' strife.
The fearful passage of their death-marked love
And the continuance of their parents' rage — Which, but their children's end, nought could remove —
Is now the two hours' traffic of our stage;
The which, if you with patient ears attend,
What here shall miss, our toil shall strive to mend.","Two households, both alike in dignity, In fair Verona where we lay our scene,","Act I Prologue' by William Shakespeare the chorus provides the reader with information about the setting, the “Two households” that the play hinges around and the “new mutiny” that stimulates the action. The prologue alludes to the end of the play in which both Romeo and Juliet lost their lives. It is only due to that loss that their “parents' rage” ends. The lines also specifically address the audience asking them to list with “patient ears” and find out how the events are going to play out."
632,632,632,"By the rude bridge that arched the flood,
Their flag to April’s breeze unfurled,
Here once the embattled farmers stood
And fired the shot heard round the world.
The foe long since in silence slept;
Alike the conqueror silent sleeps;
And Time the ruined bridge has swept
Down the dark stream which seaward creeps.
On this green bank, by this soft stream,
We set today a votive stone;
That memory may their deed redeem,
When, like our sires, our sons are gone.
Spirit, that made those heroes dare
To die, and leave their children free,
Bid Time and Nature gently spare
The shaft we raise to them and thee.", The ruined bridge has swept down the dark stream which seaward creeps.</s,"Concord Hymn' by Ralph Waldo Emerson describes the spirit which inhabited the “embattled farmers” at the start of the Revolutionary War. The poem begins with the speaker stating that farmers have gathered at a “rude bridge” on the bank of a river. They have come together in preparation for a battle that they know is coming. The next lines of the poem make clear that it is time for a change. The residents of the Colonies have had enough, and are ready to fight, hand-to-hand if necessary, for what they want. In the last two stanzas of the poem, the speaker describes the dedication of the monument for which the poem was written. He asks God to spare the statue from any of the damages “Time” or “Nature” could inflict upon it as the generations to come to need to understand its importance."
633,633,633,"Know'st thou not at the fall of the leaf
How the heart feels a languid grief
Laid on it for a covering,
And how sleep seems a goodly thing
In Autumn at the fall of the leaf?

And how the swift beat of the brain
Falters because it is in vain,
In Autumn at the fall of the leaf
Knowest thou not? and how the chief
Of joys seems—not to suffer pain?

Know'st thou not at the fall of the leaf
How the soul feels like a dried sheaf
Bound up at length for harvesting,
And how death seems a comely thing
In Autumn at the fall of the leaf?",Know'st thou not at the fall of the leaf How the heart feels,"Autumn Song' by Dante Gabriel Rossetti describes the pains experienced by nature at the end of autumn and how these pains are translated to humankind. The poem begins with the speaker asking his first question. He wants to know if the reader is aware of the fact that one” heart feels the most grief “at the fall of the leaf.” It is the days of autumn, particularly those which are edging on towards winter which is the hardest to live through. They are marked by an inescapable decay that makes its way through every living thing. In the second section, the speaker moves on to discuss the emotional and mental impacts of the changing season. One's mind will decay alongside one's body. It will be in vain to try to prevent this from happening or make any attempt to outlast it. He also states that this period of time will force one to watch their “joys” suffer. In the final set of five lines death is described as being preferable to the long decay of autumn. By the time the pain sets in, one will be ready to face death. It will be the more “comely” option between the two."
634,634,634,"And some time make the time to drive out west
Into County Clare, along the Flaggy Shore,
In September or October, when the wind
And the light are working off each other
So that the ocean on one side is wild
With foam and glitter, and inland among stones
The surface of a slate-grey lake is lit
By the earthed lightning of a flock of swans,
Their feathers roughed and ruffling, white on white,
Their fully grown headstrong-looking heads
Tucked or cresting or busy underwater.
Useless to think you’ll park and capture it
More thoroughly. You are neither here nor there,
A hurry through which known and strange things pass
As big soft buffetings come at the car sideways
And catch the heart off guard and blow it open.","And some time make the time to drive out west Into County Clare, along the Fl","Postscript' by Seamus Heaney is a short, meditative poem that describes a transitory moment by the sea and the sight of swans on a lake. The poem begins with the speaker telling the reader they should take the time to travel to the Flaggy Shore in the northern part of County Clare, Ireland. There, if they arrive between September and October, they'll see the area at its best. The sea will light up and glitter and there will be swans landing on the “inland” lake. He focuses on these creatures, describing them and their actions in great detail. The purity of this moment should not be violated by attempts to know it more fully. Instead, one should let the emotion rock their body, experiencing it this once in that time and place. "
635,635,635,"O golden-tongued Romance with serene lute!
Fair plumed Syren! Queen of far away!
Leave melodizing on this wintry day,
Shut up thine olden pages, and be mute:
Adieu! for once again the fierce dispute,
Betwixt damnation and impassion'd clay
Must I burn through; once more humbly assay
The bitter-sweet of this Shakespearian fruit.
Chief Poet! and ye clouds of Albion,
Begetters of our deep eternal theme,
When through the old oak forest I am gone,
Let me not wander in a barren dream,
But when I am consumed in the fire,
Give me new Phoenix wings to fly at my desire.",'O golden-tongued Romance with serene lute! Fair plume,"In the poem, Keats fights against his ulterior urge to create in order to indulge in one of his greatest passions: that of re-reading the play, King Lear, one of the most influential of all of Shakespeare's work. 'King Lear' is a play about family and misery, duty and birthright, and how one's opinion can lead to tragedy. It is one of Shakespeare's most revered plays, played constantly over the years to crowds of packed audiences; and it is no secret why the play itself is one of Keat's favourites. 'King Lear' is all about artifice and joy and misery, things that Keats himself saw echoed and repeated in his own life, and tried to echo and repeat in his own work."
636,636,636,"When Love with unconfinèd wings
Hovers within my Gates,
And my divine Althea brings
To whisper at the Grates;
When I lie tangled in her hair,
And fettered to her eye,
The Gods that wanton in the Air,
Know no such Liberty.

When flowing Cups run swiftly round
With no allaying Thames,
Our careless heads with Roses bound,
Our hearts with Loyal Flames;
When thirsty grief in Wine we steep,
When Healths and draughts go free,
Fishes that tipple in the Deep
Know no such Liberty.

When (like committed linnets) I
With shriller throat shall sing
The sweetness, Mercy, Majesty,
And glories of my King;
When I shall voice aloud how good
He is, how Great should be,
Enlargèd Winds, that curl the Flood,
Know no such Liberty.

Stone Walls do not a Prison make,
Nor Iron bars a Cage;
Minds innocent and quiet take
That for an Hermitage.
If I have freedom in my Love,
And in my soul am free,
Angels alone that soar above,
Enjoy such Liberty.","When love with unconfinèd wings Hovers within my Gates, And my divine","To Althea, from Prison' by Richard Lovelace describes a poet's attempts at maintaining his freedom while imprisoned in Gatehouse Prison in 1642. The poem begins with the speaker stating that while imprisoned in his cell his love comes to him and improves his situation. He imagines that his lover, Althea, visits him and takes his confinement away. His imaginings free him from the gates and grates which surround him. In the next section, he recalls moments of happiness drinking with others. These times brought him, and his friends, a freedom which was greater than that known by fish in the sea. They drink to the health of their king, a fact which contributed to the poet's imprisonment in the first place. In the last sections, he describes his ability to sing more shrilly than a “linnet.” This bird's song is not as sweet or loud as his is. His words will glorify the king and provide him with a freedom greater than that known by the winds which turn up a flood. The final lines return to the speaker's lover and he states that their love makes him freer than the angels which “soar” in the sky."
