,poems,our_summary,ground_summaries
10,"Love is like water or the air
my townspeople;
it cleanses, and dissipates evil gases.
It is like poetry too
and for the same reasons.
Love is so precious
my townspeople
that if I were you I would
have it under lock and key—
like the air or the Atlantic or
like poetry","Love is like water or the air or the Atlantic or like poetry. It cleanses, and dissipates evil gases. It is so precious that if I were you I would have it under lock and key. It's like poetry too, and for the same reasons.","Riposte' by William Carlos Williams is a short poem about the power of love and how impossible it is to sustain or control it. In the lines of 'Riposte,' the speaker addresses “townspeople,” a group he refers to as “my townspeople.” He's giving these men and women a lesson in love. He tells them that it is the same as water, air, and poetry. Meaning, it clears the air of poisonous gasses and makes life all-around easier to live. Through the poem, the poet also alludes to humanity's inability to capture and control love, just as they can't control the Atlantic ocean, air, or poetry."
11,"The apes yawn and adore their fleas in the sun.
The parrots shriek as if they were on fire, or strut
Like cheap tarts to attract the stroller with the nut.
Fatigued with indolence, tiger and lion

Lie still as the sun. The boa-constrictor’s coil
Is a fossil. Cage after cage seems empty, or
Stinks of sleepers from the breathing straw.
It might be painted on a nursery wall.

But who runs like the rest past these arrives
At a cage where the crowd stands, stares, mesmerized,
As a child at a dream, at a jaguar hurrying enraged
Through prison darkness after the drills of his eyes
On a short fierce fuse. Not in boredom—
The eye satisfied to be blind in fire,
By the bang of blood in the brain deaf the ear—
He spins from the bars, but there’s no cage to him

More than to the visionary his cell:
His stride is wildernesses of freedom:
The world rolls under the long thrust of his heel.
Over the cage floor the horizons come.","The apes yawn and adore their fleas in the sun. The parrots shriek as if they were on fire, or strut. Like cheap tarts to attract the stroller with the nut. The boa-constrictor’s coil                Is a fossil. Cage after cage seems empty, or smells of sleepers.","The Jaguar' by Ted Hughes is a powerful poem that describes a zoo, its sorrowful inhabitants, and the one creature that hasn't given into despair. In the first two stanzas of 'The Jaguar,' Hughes speaker describes a few of the many depressed animals that make up a zoo. They include parrots shrieking for food, apes, and lethargic lions and tigers. He also makes sure, within these lines, to emphasize how “un-wild” these animals are, suggesting that something more, besides their freedom, has been taken from them. In the middle of the poem, he brings in a young child visiting the zoo and uses him to draw the poem towards the jaguar, the centerpiece of the zoo. The cat appears to be, by the speaker's account, the only animal that has a depressed representative of its species. Its power is on full display as the speaker alludes to the wildness that still resides within the cat's eyes and heart."
12,"I saw a little elephant standing in my garden,
I said 'You don't belong in here', he said 'I beg your pardon?',
I said 'This place is England, what are you doing here?',
He said 'Ah, then I must be lost' and then 'Oh dear, oh dear'.

'I should be back in Africa, on Saranghetti's Plain',
'Pray, where is the nearest station where I can catch a train?'.
He caught the bus to Finchley and then to Mincing lane,
And over the Embankment, where he got lost, again.

The police they put him in a cell, but it was far too small,
So they tied him to a lampost and he slept against the wall.
But as the policemen lay sleeping by the twinkling light of dawn,
The lampost and the wall were there, but the elephant was gone!

So if you see an elephant, in a Jumbo Jet,
You can be sure that Africa's the place he's trying to get!","I saw a little elephant standing in my garden. I said 'You don't belong in here', he said 'I beg your pardon?' He said 'Ah, then I must be lost' and then 'Oh dear, oh dear' He caught the bus to Finchley and then to Mincing lane, where he got lost, again. The police they put him in a cell, but it was far too small. They tied him to a lampost and he slept against the wall. But as the policemen lay sleeping by the twinkling light of dawn, the elephant was gone!","'Jumbo Jet' by Spike Milligan tells the story of an elephant that is in London and trying to make its way back to Africa. In the first lines of this piece, the speaker begins by telling the reader how he went outside one day and found an elephant in his garden. He was shocked to see him there and told him immediately that he shouldn't be there. The elephant was confused but eventually realized how lost he is. In the next lines, the elephant asks for the speaker's help getting back to Africa and the plains on which he should be roaming. The poem concludes with the speaker describing how the elephant got lost after getting to the Thames Embankment. He was then caught by police, tied up outside to a lamppost, and then become lost once more when he wandered off during the early morning hours. In the final couplet the speaker, in an upbeat tone, assures the reader that if they see an elephant on a “Jumbo Jet” plane that he is simply trying to get home to Africa."
13,"Lovely dainty Spanish needle
With your yellow flower and white,
Dew bedecked and softly sleeping,
Do you think of me to-night?
Shadowed by the spreading mango,
Nodding o'er the rippling stream,
Tell me, dear plant of my childhood,
Do you of the exile dream?
Do you see me by the brook's side
Catching crayfish 'neath the stone,
As you did the day you whispered:
Leave the harmless dears alone?
Do you see me in the meadow
Coming from the woodland spring
With a bamboo on my shoulder
And a pail slung from a string?
Do you see me all expectant
Lying in an orange grove,
While the swee-swees sing above me,
Waiting for my elf-eyed love?
Lovely dainty Spanish needle,
Source to me of sweet delight,
In your far-off sunny southland
Do you dream of me to-night?","Lovely dainty Spanish needle is a poem about a young boy's first love. The poem is written in rhyming couplets. It is set to the tune of ""The Wheels on the Bus"" by The Beatles. The song was written in the 1960s and 1970s and was written by Henry James.","'The Spanish Needle' by Claude McKay is a beautiful, nostalgic poem that looks back on a speaker's childhood. In the stanzas, the speaker asks the Spanish needle, a type of plant, if it remembers him during his youth. He has fond memories of spending time outside, near a river, carrying water, and spending time with his love. It's clear he's feeling nostalgic about his past and hoping that through the plant, a tiny bit of himself still exists in the past."
14,"When we talk about when to tell the kids,
we are so together, so concentrated.
I mutter, “I feel like a killer.” “I’m
the killer”—taking my wrist—he says,
holding it. He is sitting on the couch,
the old indigo chintz around him,
rich as a night sea with jellies,
I am sitting on the floor. I look up at him,
as if within some chamber of matedness,
some dust I carry around me. Tonight,
to breathe its Magellanic field is less
painful, maybe because he is drinking
a wine grown where I was born—fog,
eucalyptus, sempervirens—and I’m
sharing the glass with him. “Don’t catch
my cold,” he says, “—oh that’s right, you want
to catch my cold.” I should not have told him that,
I tell him I will try to fall out of
love with him, but I feel I will love him
all my life. He says he loves me
as the mother of our children, and new troupes
of tears mount to the acrobat platforms
of my ducts and do their burning leaps.
Some of them jump straight sideways, and, for a
moment, I imagine a flurry
of tears like a whirra of knives thrown
at a figure, to outline it—a heart’s spurt
of rage. It glitters, in my vision, I nod
to it, it is my hope.","When we talk about when to tell the kids, we are so together, so concentrated. I tell him I will try to fall out of love with him, but I feel I will love him all my life. He says he loves me, and new troupes of tears mount to the acrobat platforms of my ducts.","The Flurry' by Sharon Olds focuses on a couple planning how they will tell their children of their divorce. The poem explores the end of love, relationships coming to an end, and how that can impact people. Olds moves through many emotions in the poem, beginning with worry and ending with anger. The poem is melancholic, Olds not quite knowing how to deal with the conversation. The poet's partner is pragmatic, planning their future conversation with careful certainty. The final section of the poem focuses on Olds' emotions, her sadness transforming into anger. This anger is the only thing Olds has left now, focusing on that to try and drown out the pain of falling out of love. She has to adapt to the situation as it is, surprised by things that have changed between them."
15,"When I looked up, the black man was there,
staring into my face,
as if he had always been there,
as if he and I went a long way back.
He looked into the dark pool of my eyes
as the train slid out of Euston.
For a long time this went on
the stranger and I looking at each other,
a look that was like something being given
from one to the other.
My whole childhood, l'm quite sure,
passed before him, the worst things
I've ever done, the biggest lies I've ever told.
And he was a little boy on a red dust road.
He stared into the dark depth of me,
and then he spoke:
'lbo
,' he said. 'lbo, definitely.'
Our train rushed through the dark.
'You are an Ibo!' he said, thumping the table.
My coffee jumped and spilled.
Several sleeping people woke.
The night train boasted and whistled
through the English countryside,
past unwritten stops in the blackness.
'That nose is an Ibo nose.
Those teeth are Ibo teeth,' the stranger said,
his voice getting louder and louder.
l had no doubt, from the way he said it,
that Ibo noses are the best noses in the world,
that lbo teeth are perfect pearls.
People were walking down the trembling aisle
to come and look
as the night rain babbled against the window.
There was a moment when
my whole face changed into a map,
and the stranger on the train
located even, the name
of my village in Nigeria
in the lower part of my jaw.
I told him what I'd heard was my father's name.
Okafor. He told me what it meant,
something stunning,
something so apt and astonishing.
Tell me, I asked the black man on the train
who was himself transforming,
at roughly the same speed as the train,
and could have been
at any stop, my brother, my father as a young man,
or any member of my large clan,
Tell me about the lbos.
His face had a look
I've seen on a MacLachlan, a MacDonell, a MacLeod,
the most startling thing, pride,
a quality of being certain.
'Now that I know you are an Ibo, we will eat.'
He produced a spicy meat patty,
ripping it into two.
Tell me about the lbos.
'The lbos are small in stature
Not tall like the Yoruba or Hausa.
The lbos are clever, reliable,
dependable, faithful, true.
The Ibos should be running Nigeria.
There would be none of this corruption.'
And what, I asked, are the lbos faults?
I smiled my newly acquired lbo smile,
flashed my gleaming lbo teeth.
The train grabbed at a bend,
'Faults? No faults. Not a single one.'
'If you went back,' he said brightening,
'The whole village would come out for you.
Massive celebrations. Definitely.
Definitely,' he opened his arms wide.
'The eldest grandchild- fantastic welcome.
If the grandparents are alive.'
I saw myself arriving
the hot dust, the red road,
the trees heavy with other fruits,
the bright things, the flowers.
I saw myself watching
Jackie Kay
Lucozade, The Shoes of Dead Comrades, Pride
the old people dance towards me
dressed up for me in happy prints.
And I found my feet.
I started to dance.
I danced a dance I never knew I knew.
Words and sounds fell out of my mouth like seeds.
I astonished myself.
My grandmother was like me exactly, only darker.
When I looked up, the black man had gone.
Only my own face startled me in the dark train window.","When I looked up, the black man was there, staring into my face. He looked into the dark pool of my eyes as the train slid out of Euston. 'You are an Ibo!' he said, thumping the table. 'lbo, definitely'","'Pride' by Jackie Kay is about having pride in one's identity and a woman's extraordinary meeting with a man on a night train. In the first part of the poem, the speaker begins by describing herself on a train during a nighttime journey leaving Euston station. She meets a black man on the train with whom she has an instant connection. She feels as though he can see into her mind and her past. To an extent, this proves to be true. They speak, and he explains that she is Ibo or that she comes from a specific tribe in Africa. This is highly relevant to the speaker, who is on a journey of self-discovery. They converse further, and he makes her feel as though her identity is something to be incredibly proud of. When the poem concludes, it becomes clear that the speaker has imagined this entire interaction."
16,"Miss Helen Slingsby was my maiden aunt,
And lived in a small house near a fashionable square
Cared for by servants to the number of four.
Now when she died there was silence in heaven
And silence at her end of the street.
The shutters were drawn and the undertaker wiped his feet—
He was aware that this sort of thing had occurred before.
The dogs were handsomely provided for,
But shortly afterwards the parrot died too.
The Dresden clock continued ticking on the mantelpiece,
And the footman sat upon the dining-table
Holding the second housemaid on his knees—
Who had always been so careful while her mistress lived.","Miss Helen Slingsby was my maiden aunt. She lived in a small house near a fashionable square. She was cared for by servants to the number of four. When she died there was silence in heaven and silence at her end of the street. The dogs were handsomely provided for, but shortly afterwards the parrot died too.","Aunt Helen' by T.S. Eliot takes a look into the life of a recently deceased woman who appears to have been unloved while she was alive. The poem details the aftermath of this woman's death. Eliot's speaker discusses the silence on the street and alludes to the lack of mourners around the woman. Despite being her nephew, the speaker does not show any emotion. He is not grieving for her in this elegy, he is simply noting the facts of her death. The strongest emotion in the poem comes at the end when the speaker mentions the housemaid flirting with the footman."
17,"I wonder how it all got started, this business
about seeing your life flash before your eyes
while you drown, as if panic, or the act of submergence,
could startle time into such compression, crushing
decades in the vice of your desperate, final seconds.

After falling off a steamship or being swept away
in a rush of floodwaters, wouldn't you hope
for a more leisurely review, an invisible hand
turning the pages of an album of photographs-
you up on a pony or blowing out candles in a conic hat.

How about a short animated film, a slide presentation?
Your life expressed in an essay, or in one model photograph?
Wouldn't any form be better than this sudden flash?
Your whole existence going off in your face
in an eyebrow-singeing explosion of biography-
nothing like the three large volumes you envisioned.

Survivors would have us believe in a brilliance
here, some bolt of truth forking across the water,
an ultimate Light before all the lights go out,
dawning on you with all its megalithic tonnage.
But if something does flash before your eyes
as you go under, it will probably be a fish,

a quick blur of curved silver darting away,
having nothing to do with your life or your death.
The tide will take you, or the lake will accept it all
as you sink toward the weedy disarray of the bottom,
leaving behind what you have already forgotten,
the surface, now overrun with the high travel of clouds.","I wonder how it all got started, this business about seeing your life flash before your eyes. Wouldn't any form be better than this sudden flash? The tide will take you, or the lake will accept it all. As you go under, it will probably be a fish, a quick blur of curved silver darting away.","'The Art of Drowning' by Billy Collins speaks humorously on near-death experiences and the idea that one's life could be contained in a “flash”. The poem begins with the speaker asking why and how the idea of life flashing before one's eyes came into being. He is mystified by it and encourages the reader to consider the same question. As the poem progresses he discusses how inadequate and distressing this experience would be. He also proposes a number of alternatives, such as a photo album being turned slowly or an essay. 'The Art of Drowning' ends with the speaker discusses one death by drowning and how one's memories would quickly be forgotten. They'd remain at the surface as one's body drifted to the bottom of a lake."
18,"I used to think that grown-up people chose
To have stiff backs and wrinkles round their nose,
And veins like small fat snakes on either hand,
On purpose to be grand.
Till through the banisters I watched one day
My great-aunt Etty’s friend who was going away,
And how her onyx beads had come unstrung.
I saw her grope to find them as they rolled;
And then I knew that she was helplessly old,
As I was helplessly young.","I used to think that grown-up people chose. to have stiff backs and wrinkles round their nose,                And veins like small fat snakes on either hand,                On purpose to be grand. But then I watched one day through the banisters. my great-aunt Etty’s friend who was going away. And how her onyx beads had come unstrung. I saw her grope to find them as they rolled; and then I knew that she was helplessly old.","'Childhood' is a moving encounter between a child and an elderly figure, in which the universality of age and mortality become apparent to the child. The poem begins from a point of scepticism on behalf of the narrator who is a small child. They do not believe the cosmetic reminders of age on people they encounter to be anything more than deliberate choices, like the clothes they wear. It is only after they witness an elderly person in distress that they begin to realise that age is something genuinely debilitating and they can no longer return to their earlier ignorance of it."
19,"""Christ of the Andes,"" Christ of Everywhere,
Great lover of the hills, the open air,
And patient lover of impatient men
Who blindly strive and sin and strive again, —
Thou Living Word, larger than any creed,
Thou Love Divine, uttered in human deed, —
Oh, teach the world, warring and wandering still,
Thy way of Peace, the foot path of Good Will!","""Christ of the Andes,"" Christ of Everywhere. ""The Way of Peace, the foot path of Good Will!"" ""Thou Living Word, larger than any creed or religion"" ""The Love Divine, uttered in human deed, —                Oh, teach the world, warring and wandering still""","'Christ of Everywhere' by Henry Van Dyke is a thoughtful poem about the presence of Christ in all things that human beings do. In the first line of the poem, the speaker begins by describing how Christ is everywhere and can be found in all the faults and good deeds of human beings. Christ is there as human beings sin and strive to be better again. The final lines are addressed to Christ himself and implore him to continue guiding human beings down a righteous path, one that follows Christ's teachings."
20,"Now that I have your face by heart, I look Less at its features than its darkening frame Where quince and melon, yellow as young flame, Lie with quilled dahlias and the shepherd’s crook. Beyond, a garden. There, in insolent ease
The lead and marble figures watch the show Of yet another summer loath to go
Although the scythes hang in the apple trees.
Now that I have your face by heart, I look.
Now that I have your voice by heart, I read In the black chords upon a dulling page Music that is not meant for music’s cage,
Whose emblems mix with words that shake and bleed. The staves are shuttled over with a stark Unprinted silence. In a double dream I must spell out the storm, the running stream. The beat’s too swift. The notes shift in the dark.
Now that I have your voice by heart, I read.
Now that I have your heart by heart, I see
The wharves with their great ships and architraves; The rigging and the cargo and the slaves
On a strange beach under a broken sky.
O not departure, but a voyage done!
The bales stand on the stone; the anchor weeps
Its red rust downward, and the long vine creeps Beside the salt herb, in the lengthening sun.
Now that I have your heart by heart, I see.","Now that I have your face by heart, I look Less at its features than its darkening frame Where quince and melon, yellow as young flame, Lie with quilled dahlias and the shepherd’s crook. Beyond, a garden. There, in insolent ease, the lead and marble figures watch the show Of yet another summer loath to go.","Song for the Last Act' by Louise Bogan describes the complicated and emotionally confining relationship that exists between a speaker and their listener. The poem begins with the speaker stating that she knows her partner so well, their face is memorized on her heart. She will go on to say the same about their heart and voice. She has spent a great deal of time with this person, so much so she has neglected the rest of the world. 'Song for the Last Act' works as a mental and emotional stopping point for the speaker in this relationship. She is finally looking beyond her partner to everything fading and changing. The season of summer, a pattern of music, and a ship's voyage all mark the end of something. The speaker does not give a clear description of whether or not this is a happy or sad ending. One can infer from the description of the anchor in the final stanza and the descriptions of fading warmth and music that the change is painful."
